rank,team,conference,elo,change,prior,season_min,season_max
1,Duke,ACC,2256.2427,-5 🟠@@-4.867172,2024.7307,2024.7307,2292.6404
2,Michigan,Big Ten,2231.342,-25 🟠@@-25.31345,2000.4205,2000.4205,2306.1472
3,Arizona,Big 12,2210.7405,+8 🟢@@7.517895,1923.6527,1923.6527,2210.7405
4,Florida,SEC,2173.1301,-38 🟠@@-37.60806,2083.5107,1997.1519,2210.0886
5,Iowa St.,Big 12,2157.8574,-5 🟠@@-5.232012,1900.182,1900.182,2164.9048
6,Houston,Big 12,2150.0466,-8 🟠@@-7.517895,2155,2075.4221,2174.5703
7,Purdue,Big Ten,2105.748,+25 🟢@@25.31345,2229.7791,2053.4639,2229.7791
8,St. John's,Big East,2077.3887,+33 🟢@@33.14869,2029.95,1956.5702,2077.3887
9,Illinois,Big Ten,2077.3291,-17 🟠@@-16.77826,1905.1573,1905.1573,2133.2507
10,UConn,Big East,2048.7571,-33 🟠@@-33.14869,2065.4192,2040.8563,2132.1741
11,Michigan St.,Big Ten,2032.8801,-18 🟠@@-17.5708,1876.9689,1851.5454,2100.7734
12,Gonzaga,WCC,2031.2236,+3 🟢@@2.516068,1872.4053,1872.4053,2130.3669
13,Virginia,ACC,2019.2024,+5 🟢@@4.867172,1814.8234,1814.8234,2027.6368
14,Vanderbilt,SEC,2001.3844,-23 🟠@@-22.66258,1811.8978,1811.8978,2032.6417
15,Louisville,ACC,2001.2523,-13 🟠@@-12.85407,1954.8716,1954.8716,2101.0464
16,Arkansas,SEC,2000.0878,+23 🟢@@22.66258,1917.0804,1860.3065,2000.0878
17,Wisconsin,Big Ten,1972.7933,+9 🟢@@9.10666,1857.5449,1797.2374,1972.7933
18,Texas Tech,Big 12,1972.3236,-37 🟠@@-36.79107,1950.7383,1878.3588,2051.52
19,Tennessee,SEC,1970.4119,-12 🟠@@-11.56135,1903.1571,1885.7433,2008.3529
20,Nebraska,Big Ten,1970.3802,-21 🟠@@-20.85032,1738.9247,1738.9247,2032.8145
21,Alabama,SEC,1964.2625,-21 🟠@@-21.38441,1897.7062,1897.7062,2029.1544
22,UCLA,Big Ten,1963.2966,-5 🟠@@-4.827328,1948.1403,1865.9862,1967.306
23,Ohio St.,Big Ten,1944.8229,+11 🟢@@10.68913,1832.0425,1809.7587,1944.8229
24,Kentucky,SEC,1942.5708,+1 🟢@@.7970725,1963.4969,1914.4827,2031.6563
25,Kansas,Big 12,1940.976,-28 🟠@@-27.69674,1887.3933,1880.5261,2040.953
26,Saint Mary's (CA),WCC,1938.2238,-21 🟠@@-21.26487,1800.6395,1800.6395,1959.3287
27,BYU,Big 12,1936.5476,+6 🟢@@5.957543,1977.3577,1892.4546,2083.687
28,North Carolina,ACC,1910.2263,-16 🟠@@-15.80999,1851.0208,1851.0208,1959.3573
29,Iowa,Big Ten,1909.6945,+1 🟢@@1.474307,1791.6853,1791.6853,1981.9951
