rank,team,conference,elo,change,prior,season_min,season_max
1,UConn,Big East,2689.9929,+17 🟢@@17.06924,2564.2769,2534.123,2723.0649
2,UCLA,Big Ten,2593.5708,+57 🟢@@56.8948,2318.1882,2301.9541,2593.5708
3,South Carolina,SEC,2551.8948,-35 🟠@@-34.60135,2416.7415,2416.7415,2586.4995
4,Texas,SEC,2545.7629,+35 🟢@@34.60135,2335.8394,2335.8394,2545.7629
5,LSU,SEC,2472.4387,-6 🟠@@-6.07422,2242.1965,2240.5386,2478.6819
6,Duke,ACC,2294.5508,+9 🟢@@9.11977,2240.2312,2076.5686,2328.1074
7,Michigan,Big Ten,2283.5898,-35 🟠@@-35.02995,2084.5686,2084.5686,2348.9561
8,Louisville,ACC,2228.9824,-9 🟠@@-9.11977,2032.2391,2025.4244,2267.7683
9,West Virginia,Big 12,2225.0645,+18 🟢@@17.72455,1979.9106,1979.9106,2225.0645
10,Ohio St.,Big Ten,2222.8662,+2 🟢@@2.115489,1981.5648,1975.8942,2222.8662
11,Vanderbilt,SEC,2216.3403,-32 🟠@@-32.12548,2015.1853,2015.1853,2248.668
12,North Carolina,ACC,2206.6643,-15 🟠@@-14.65599,2146.6555,2124.5474,2233.4602
13,Oklahoma,SEC,2205.7849,-34 🟠@@-34.21421,2197.8457,2131.0273,2317.3853
14,Iowa,Big Ten,2203.1465,-57 🟠@@-56.8948,2012.1163,2012.1163,2260.1445
15,TCU,Big 12,2197.9302,-18 🟠@@-17.72455,2088.4741,2088.4741,2258.1694
16,Kentucky,SEC,2191.4165,-11 🟠@@-10.63926,2008.4486,1973.1943,2204.5623
17,Minnesota,Big Ten,2176.384,-7 🟠@@-7.149002,1926.0345,1926.0345,2206.3525
18,Maryland,Big Ten,2154.1006,-24 🟠@@-24.15957,2124.4644,2098.1995,2238.3928
19,Notre Dame,ACC,2137.364,+3 🟢@@2.754047,2083.8301,2006.9122,2141.2227
20,Ole Miss,SEC,2115.0391,-2 🟠@@-2.387414,2103.2507,2086.2903,2198.9141
21,Michigan St.,Big Ten,2101.5305,-11 🟠@@-10.71519,1982.4396,1982.4396,2173.3977
22,Washington,Big Ten,2085.9221,+1 🟢@@1.166876,1958.92,1958.92,2091.4036
23,NC State,ACC,2082.4148,-30 🟠@@-30.09341,2163.8955,2013.7297,2177.3354
24,Tennessee,SEC,2074.363,-27 🟠@@-27.19332,2154.1697,2074.363,2215.7119
25,Illinois,Big Ten,2069.5251,-3 🟠@@-3.002598,1890.5126,1832.0706,2071.5693
26,USC,Big Ten,2061.9009,-23 🟠@@-22.98163,2052.2297,2052.2297,2164.4819
27,Alabama,SEC,2054.4197,-8 🟠@@-7.886141,1921.9431,1867.1819,2070.033
28,Villanova,Big East,2037.3973,-17 🟠@@-17.06924,1800.3734,1763.9785,2058.0122
29,Georgia,SEC,2032.8257,-16 🟠@@-16.14671,1788.2139,1776.4709,2049.1143
30,Oklahoma St.,Big 12,2029.9546,-16 🟠@@-16.28825,2012.3047,2008.3578,2086.0554
