,Team,Conf.,Current Elo,Last,Season Min.,Season Max.,Home Court*
1,Duke,ACC,2089.303,+14 🟢@@13.77758789,1842.133,2089.303,83.04591
2,Houston,Big 12,2074.552,+7 🟢@@6.890441895,1863.668,2074.552,84.47469
3,Auburn,SEC,2049.707,-18 🟠@@-17.93383789,1863.583,2105.443,67.584
4,Florida,SEC,2040.319,+7 🟢@@6.597717285,1799.165,2040.319,62.82391
5,Alabama,SEC,2031.764,+18 🟢@@17.93389893,1903.559,2086.004,100.502
6,Michigan St.,Big Ten,2009.002,+7 🟢@@6.729248047,1757.601,2009.002,81.57139
7,St. John's,Big East,1987.206,+11 🟢@@10.93847656,1791.322,1987.206,43.39108
8,Tennessee,SEC,1977.244,+2 🟢@@2.040161133,1847.643,1987.138,86.19893
9,Texas Tech,Big 12,1952.853,+20 🟢@@20.43499756,1770.406,1952.853,80.30434
10,Gonzaga,WCC,1952.656,+4 🟢@@3.786499023,1826.891,1952.656,71.56569
11,Louisville,ACC,1950.435,+4 🟢@@3.525756836,1534.851,1950.435,66.29934
12,Maryland,Big Ten,1940.398,+7 🟢@@6.720581055,1706.66,1940.398,74.57055
13,Saint Mary's (CA),WCC,1936.807,+2 🟢@@1.791687012,1715.689,1936.807,51.3288
14,Clemson,ACC,1916.291,+2 🟢@@1.703186035,1736.343,1916.291,81.81437
15,Kansas,Big 12,1911.125,+12 🟢@@11.94195557,1885.905,2033.955,89.09142
16,Arizona,Big 12,1906.818,-12 🟠@@-11.94195557,1730.804,1959.279,83.74467
17,UConn,Big East,1899.5,+2 🟢@@1.915405273,1844.808,1984.536,54.18959
18,Iowa St.,Big 12,1895.161,+28 🟢@@28.11676025,1866.029,2030.798,77.82376
19,Texas A&M,SEC,1892.981,+14 🟢@@13.61828613,1800.151,1927.092,66.2533
20,BYU,Big 12,1884.394,+4 🟢@@3.813232422,1711.876,1884.394,98.47079
21,Wisconsin,Big Ten,1863.745,-64 🟠@@-63.91217041,1749.993,1961.771,76.58871
22,UCLA,Big Ten,1863.713,+19 🟢@@19.2868042,1709.99,1863.713,77.12961
23,Illinois,Big Ten,1861.005,+13 🟢@@13.4743042,1763.383,1939.585,71.86468
24,Ole Miss,SEC,1857.475,-7 🟠@@-6.597717285,1713.98,1943.781,73.00755
25,VCU,A-10,1857.215,-25 🟠@@-25.11437988,1673.667,1882.33,71.68198
26,Drake,MVC,1854.651,+16 🟢@@15.56347656,1677.405,1854.651,59.36783
27,Marquette,Big East,1851.853,-11 🟠@@-10.93847656,1825.318,1944.018,67.61778
28,Kentucky,SEC,1851.058,+32 🟢@@32.34118652,1775.307,1851.058,82.12686
29,New Mexico,MWC,1848.354,+5 🟢@@5.30657959,1669.645,1865.114,89.07415
30,UC San Diego,Big West,1844.898,+5 🟢@@4.62902832,1487.085,1844.898,59.54225
31,Baylor,Big 12,1836.109,-7 🟠@@-6.890441895,1791.445,1886.188,47.48352
32,Memphis,AAC,1834.618,+2 🟢@@1.798217773,1658.72,1836.823,86.32083
33,Purdue,Big Ten,1833.051,-13 🟠@@-13.4743042,1812.358,1930.823,109.2156
