,Team,Conf.,Current Elo,Last,Season Min.,Season Max.,Home Court*
1,UConn,Big East,2402.834,+8 🟢@@7.682495117,2182.536,2402.834,48.59533
2,South Carolina,SEC,2380.383,+31 🟢@@31.26000977,2295.842,2403.289,38.359
3,Texas,SEC,2322.997,-31 🟠@@-31.26000977,2127.711,2354.257,35.22011
4,UCLA,Big Ten,2314.531,+16 🟢@@15.7331543,2080.297,2314.531,39.20146
5,USC,Big Ten,2313.85,-16 🟠@@-15.7331543,2094.284,2329.583,34.82006
6,Notre Dame,ACC,2203.546,-17 🟠@@-17.14697266,2064.349,2258.584,42.92681
7,Duke,ACC,2195.55,+36 🟢@@35.77185059,2011.974,2195.55,53.07641
8,NC State,ACC,2180.388,-36 🟠@@-35.77185059,2011.839,2216.16,55.65086
9,TCU,Big 12,2176.307,+14 🟢@@13.99902344,1834.859,2176.307,42.75577
10,LSU,SEC,2144.442,-10 🟠@@-10.42370605,2121.552,2208.252,37.21165
11,Oklahoma,SEC,2139.991,-12 🟠@@-11.94946289,1988.901,2151.941,31.33834
12,Baylor,Big 12,2110.594,-14 🟠@@-13.99902344,1922.597,2124.593,53.86972
13,Kentucky,SEC,2107.261,-13 🟠@@-12.89978027,1834.207,2133.13,35.84956
14,Creighton,Big East,2085.627,-8 🟠@@-7.682495117,1895.336,2093.31,39.95511
15,North Carolina,ACC,2078.68,-14 🟠@@-13.83740234,1941.383,2142.998,38.04142
16,West Virginia,Big 12,2066.339,-13 🟠@@-13.35424805,1957.574,2079.693,36.01497
17,Ohio St.,Big Ten,2060.481,-33 🟠@@-33.11682129,1988.512,2121.058,47.17732
18,Ole Miss,SEC,2054.664,-7 🟠@@-6.747680664,1959.071,2061.411,29.62904
19,Iowa,Big Ten,2035.044,-9 🟠@@-8.739746094,1909.327,2085.324,50.43904
20,Iowa St.,Big 12,2026.623,-13 🟠@@-13.04351807,1923.544,2039.667,53.44893
21,Alabama,SEC,2026.191,-21 🟠@@-20.70123291,1932.906,2057.482,25.44829
22,Michigan,Big Ten,2014.156,-12 🟠@@-11.59802246,1821.639,2025.754,37.42513
23,Florida St.,ACC,2005.55,-9 🟠@@-9.020935059,1910.337,2093.634,28.94412
24,Louisville,ACC,2001.596,-15 🟠@@-14.93035889,1853.004,2030.321,51.73248
25,Kansas St.,Big 12,1992.476,-11 🟠@@-11.41540527,1956.26,2163.324,45.62701
26,Oklahoma St.,Big 12,1987.684,-18 🟠@@-17.55560303,1744.229,2005.24,41.98409
27,California,ACC,1986.239,-7 🟠@@-6.730102539,1809.813,2010.097,14.79856
28,Maryland,Big Ten,1983.646,-48 🟠@@-48.38305664,1941.787,2089.179,44.13697
29,South Dakota St.,Summit,1974.248,+10 🟢@@10.34893799,1808.26,1974.248,55.2168
30,Tennessee,SEC,1966.422,-29 🟠@@-29.07080078,1937.225,2069.169,40.57292
31,Michigan St.,Big Ten,1956.343,-19 🟠@@-19.01940918,1867.709,2030.773,39.89027
32,Richmond,A-10,1954.237,-15 🟠@@-14.81188965,1786.364,1969.049,20.04989
33,Vanderbilt,SEC,1931.691,-6 🟠@@-6.118225098,1845.564,1963.602,40.73106
34,Washington,Big Ten,1922.98,-14 🟠@@-14.00189209,1729.31,1936.982,25.02359
35,Utah,Big 12,1916.013,-52 🟠@@-52.30078125,1869.082,2013.368,29.86242
36,Georgia Tech,ACC,1914.218,-2 🟠@@-1.745727539,1759.779,1984.375,33.0447
37,Indiana,Big Ten,1910.064,-4 🟠@@-4.369262695,1844.524,1963.992,43.42075
38,Illinois,Big Ten,1899.829,-18 🟠@@-17.59710693,1826.69,1950.781,11.39852
39,Nebraska,Big Ten,1885.23,-6 🟠@@-5.500793457,1853.319,1967.265,35.63521
40,Columbia,Ivy,1884.56,+1 🟢@@1.165161133,1754.199,1891.287,34.68125
41,George Mason,A-10,1884.386,+24 🟢@@23.62341309,1720.115,1900.303,35.99253
42,Mississippi St.,SEC,1873.284,-13 🟠@@-12.95361328,1813.379,1886.237,31.14911
43,Princeton,Ivy,1866.901,+7 🟢@@6.770874023,1801.24,1867.878,49.7998
44,Portland,WCC,1855.467,-52 🟠@@-52.17651367,1694.745,1907.643,16.52198
45,Fairfield,MAAC,1851.146,+2 🟢@@2.146362305,1742.387,1875.383,28.55197
46,James Madison,Sun Belt,1849.952,-37 🟠@@-37.14044189,1605.826,1887.092,51.38416
47,Florida Gulf Coast,A-Sun,1841.948,+3 🟢@@2.741821289,1697.778,1841.948,45.54788
48,Harvard,Ivy,1830.654,+2 🟢@@2.06628418,1580.82,1862.778,42.9865
