School,Venue,Distance_Miles
Duke,"University of Dayton Arena, Dayton, Ohio",385.79
Duke,"Amica Mutual Pavilion, Providence, Rhode Island",570.42
Duke,"Rupp Arena, Lexington, Kentucky",338.17
Duke,"Intrust Bank Arena, Wichita, Kansas",1024.04
Duke,"Ball Arena, Denver, Colorado",1442.81
Duke,"Rocket Mortgage FieldHouse, Cleveland, Ohio",407.03
Duke,"Fiserv Forum, Milwaukee, Wisconsin",681.9
Duke,"PNC Arena, Raleigh, North Carolina",18.43
Duke,"Climate Pledge Arena, Seattle, Washington",2345.01
Duke,"Prudential Center, Newark, New Jersey",416.72
Duke,"State Farm Arena, Atlanta, Georgia",346.09
Duke,"Lucas Oil Stadium, Indianapolis, Indiana",471.95
Duke,"Chase Center, San Francisco, California",2387.81
Duke,"Alamodome, San Antonio, Texas",1222.35
Houston,"University of Dayton Arena, Dayton, Ohio",934.77
Houston,"Amica Mutual Pavilion, Providence, Rhode Island",1573.35
Houston,"Rupp Arena, Lexington, Kentucky",845.25
Houston,"Intrust Bank Arena, Wichita, Kansas",557.71
Houston,"Ball Arena, Denver, Colorado",879.14
Houston,"Rocket Mortgage FieldHouse, Cleveland, Ohio",1114.21
Houston,"Fiserv Forum, Milwaukee, Wisconsin",1004.77
Houston,"PNC Arena, Raleigh, North Carolina",1052.86
Houston,"Climate Pledge Arena, Seattle, Washington",1892.17
Houston,"Prudential Center, Newark, New Jersey",1411.69
Houston,"State Farm Arena, Atlanta, Georgia",701.66
Houston,"Lucas Oil Stadium, Indianapolis, Indiana",864.55
Houston,"Chase Center, San Francisco, California",1643.33
Houston,"Alamodome, San Antonio, Texas",188.76
Auburn,"University of Dayton Arena, Dayton, Ohio",496.48
Auburn,"Amica Mutual Pavilion, Providence, Rhode Island",1000.3
Auburn,"Rupp Arena, Lexington, Kentucky",379.04
Auburn,"Intrust Bank Arena, Wichita, Kansas",755.89
Auburn,"Ball Arena, Denver, Colorado",1193.98
Auburn,"Rocket Mortgage FieldHouse, Cleveland, Ohio",647.49
Auburn,"Fiserv Forum, Milwaukee, Wisconsin",731.84
Auburn,"PNC Arena, Raleigh, North Carolina",445.1
Auburn,"Climate Pledge Arena, Seattle, Washington",2182.55
Auburn,"Prudential Center, Newark, New Jersey",840.37
Auburn,"State Farm Arena, Atlanta, Georgia",101.01
Auburn,"Lucas Oil Stadium, Indianapolis, Indiana",494.4
Auburn,"Chase Center, San Francisco, California",2104.83
Auburn,"Alamodome, San Antonio, Texas",801.38
Florida,"University of Dayton Arena, Dayton, Ohio",703.18
Florida,"Amica Mutual Pavilion, Providence, Rhode Island",1037.33
Florida,"Rupp Arena, Lexington, Kentucky",592.11
Florida,"Intrust Bank Arena, Wichita, Kansas",1024.76
Florida,"Ball Arena, Denver, Colorado",1460.89
Florida,"Rocket Mortgage FieldHouse, Cleveland, Ohio",817.39
Florida,"Fiserv Forum, Milwaukee, Wisconsin",974.12
Florida,"PNC Arena, Raleigh, North Carolina",472.9
Florida,"Climate Pledge Arena, Seattle, Washington",2457.05
Florida,"Prudential Center, Newark, New Jersey",891.49
Florida,"State Farm Arena, Atlanta, Georgia",308.03
Florida,"Lucas Oil Stadium, Indianapolis, Indiana",729.97
Florida,"Chase Center, San Francisco, California",2355.43
Florida,"Alamodome, San Antonio, Texas",972.32
Alabama,"University of Dayton Arena, Dayton, Ohio",487.39
Alabama,"Amica Mutual Pavilion, Providence, Rhode Island",1064.83
Alabama,"Rupp Arena, Lexington, Kentucky",375.57
Alabama,"Intrust Bank Arena, Wichita, Kansas",630.82
Alabama,"Ball Arena, Denver, Colorado",1068.23
Alabama,"Rocket Mortgage FieldHouse, Cleveland, Ohio",656.38
Alabama,"Fiserv Forum, Milwaukee, Wisconsin",678.64
Alabama,"PNC Arena, Raleigh, North Carolina",535.23
Alabama,"Climate Pledge Arena, Seattle, Washington",2062.46
Alabama,"Prudential Center, Newark, New Jersey",903.09
Alabama,"State Farm Arena, Atlanta, Georgia",186.98
Alabama,"Lucas Oil Stadium, Indianapolis, Indiana",458.3
Alabama,"Chase Center, San Francisco, California",1976.7
Alabama,"Alamodome, San Antonio, Texas",695.81
Michigan St.,"University of Dayton Arena, Dayton, Ohio",207.27
Michigan St.,"Amica Mutual Pavilion, Providence, Rhode Island",671.36
Michigan St.,"Rupp Arena, Lexington, Kentucky",323.1
Michigan St.,"Intrust Bank Arena, Wichita, Kansas",763.14
Michigan St.,"Ball Arena, Denver, Colorado",1086.44
Michigan St.,"Rocket Mortgage FieldHouse, Cleveland, Ohio",166.51
Michigan St.,"Fiserv Forum, Milwaukee, Wisconsin",176.2
Michigan St.,"PNC Arena, Raleigh, North Carolina",568.47
Michigan St.,"Climate Pledge Arena, Seattle, Washington",1861.55
Michigan St.,"Prudential Center, Newark, New Jersey",549.7
Michigan St.,"State Farm Arena, Atlanta, Georgia",619.03
Michigan St.,"Lucas Oil Stadium, Indianapolis, Indiana",223.27
Michigan St.,"Chase Center, San Francisco, California",2016.16
Michigan St.,"Alamodome, San Antonio, Texas",1203.83
St. John's,"University of Dayton Arena, Dayton, Ohio",553.34
St. John's,"Amica Mutual Pavilion, Providence, Rhode Island",146.61
St. John's,"Rupp Arena, Lexington, Kentucky",600.63
St. John's,"Intrust Bank Arena, Wichita, Kansas",1275.89
St. John's,"Ball Arena, Denver, Colorado",1642.69
St. John's,"Rocket Mortgage FieldHouse, Cleveland, Ohio",414.9
St. John's,"Fiserv Forum, Milwaukee, Wisconsin",744.64
